Season,Bears Win%,Bulls Win%,Cubs Win%
1966,0.429,0.407,0.364
1967,0.536,0.354,0.54
1968,0.5,0.402,0.519
1969,0.071,0.476,0.568
1970,0.429,0.622,0.519
1971,0.429,0.695,0.512
1972,0.321,0.622,0.548
1973,0.214,0.659,0.478
1974,0.286,0.573,0.407
1975,0.286,0.293,0.463
1976,0.5,0.537,0.463
1977,0.643,0.488,0.5
1978,0.438,0.378,0.488
1979,0.625,0.366,0.494
1980,0.438,0.549,0.395
1981,0.375,0.415,0.288
1982,0.333,0.341,0.451
1983,0.5,0.329,0.438
1984,0.625,0.463,0.596
1985,0.938,0.366,0.478
1986,0.875,0.488,0.438
1987,0.733,0.61,0.472
1988,0.75,0.573,0.475
1989,0.375,0.671,0.574
1990,0.688,0.744,0.475
1991,0.688,0.817,0.481
1992,0.313,0.695,0.481
1993,0.438,0.671,0.519
1994,0.563,0.573,0.434
1995,0.563,0.878,0.507
1996,0.438,0.841,0.469
1997,0.25,0.756,0.42
1998,0.25,0.26,0.552
1999,0.375,0.207,0.414
2000,0.313,0.183,0.401
2001,0.813,0.256,0.543
2002,0.25,0.366,0.414
2003,0.438,0.28,0.543
2004,0.313,0.573,0.549
2005,0.688,0.5,0.488
2006,0.813,0.598,0.407
2007,0.438,0.402,0.525
2008,0.563,0.5,0.602
2009,0.438,0.5,0.516
2010,0.688,0.756,0.463
2011,0.5,0.758,0.438
2012,0.625,0.549,0.377
2013,0.5,0.585,0.407
2014,0.313,0.61,0.451
2015,0.375,0.512,0.599
